Observation,Region,Quarter,Year,Team_name,Elo
7,LCS,Spring,2016,Apex,
7,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
7,LCS,Spring,2016,Echo Fox,2720.0
7,LCS,Spring,2016,Golden Guardians,
7,LCS,Spring,2016,FlyQuest,
7,LCS,Spring,2016,Flyquest,
7,LCS,Spring,2016,Team Impulse,2680.0
7,LCS,Spring,2016,Cloud9,2680.0
7,LCS,Spring,2016,100 Thieves,
7,LCS,Spring,2016,Team SoloMid,2680.0
7,LCS,Spring,2016,Immortals,2720.0
7,LCS,Spring,2016,Phoenix1,
7,LCS,Spring,2016,EnVyUs,
7,LCS,Spring,2016,Team Liquid,2680.0
7,LCS,Spring,2016,Dignitas,2702.2924653504915
8,LCS,Spring,2016,OpTic Gaming,
8,LCS,Spring,2016,Phoenix1,
8,LCS,Spring,2016,Renegades,2700.0
8,LCS,Spring,2016,Golden Guardians,
8,LCS,Spring,2016,Team Liquid,2660.0
8,LCS,Spring,2016,Apex,
8,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
8,LCS,Spring,2016,Team Impulse,2680.0
8,LCS,Spring,2016,FlyQuest,
8,LCS,Spring,2016,EnVyUs,
8,LCS,Spring,2016,NRG Esports,2740.0
8,LCS,Spring,2016,Cloud9,2680.0
8,LCS,Spring,2016,Flyquest,
8,LCS,Spring,2016,100 Thieves,
8,LCS,Spring,2016,Echo Fox,2720.0
8,LCS,Spring,2016,Clutch Gaming,
8,LCS,Spring,2016,Dignitas,2702.2924653504915
8,LCS,Spring,2016,Immortals,2720.0
8,LCS,Spring,2016,Team SoloMid,2700.0
9,LCS,Spring,2016,Flyquest,
9,LCS,Spring,2016,Team Liquid,2660.0
9,LCS,Spring,2016,EnVyUs,
9,LCS,Spring,2016,Phoenix1,
9,LCS,Spring,2016,Dignitas,2702.2924653504915
9,LCS,Spring,2016,Cloud9,2702.2924653504915
9,LCS,Spring,2016,Team Impulse,2680.0
9,LCS,Spring,2016,NRG Esports,2740.0
9,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
9,LCS,Spring,2016,Echo Fox,2697.7075346495085
9,LCS,Spring,2016,100 Thieves,
9,LCS,Spring,2016,Team SoloMid,2700.0
9,LCS,Spring,2016,Immortals,2720.0
9,LCS,Spring,2016,FlyQuest,
9,LCS,Spring,2016,OpTic Gaming,
9,LCS,Spring,2016,Apex,
9,LCS,Spring,2016,Clutch Gaming,
9,LCS,Spring,2016,Golden Guardians,
9,LCS,Spring,2016,Renegades,2700.0
10,LCS,Spring,2016,Renegades,2700.0
10,LCS,Spring,2016,100 Thieves,
10,LCS,Spring,2016,Dignitas,2702.2924653504915
10,LCS,Spring,2016,NRG Esports,2740.0
10,LCS,Spring,2016,Clutch Gaming,
10,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
10,LCS,Spring,2016,Team Impulse,2662.2924653504915
10,LCS,Spring,2016,Cloud9,2702.2924653504915
10,LCS,Spring,2016,Golden Guardians,
10,LCS,Spring,2016,Immortals,2737.7075346495085
10,LCS,Spring,2016,Phoenix1,
10,LCS,Spring,2016,Team Liquid,2660.0
10,LCS,Spring,2016,Apex,
10,LCS,Spring,2016,Flyquest,
10,LCS,Spring,2016,EnVyUs,
10,LCS,Spring,2016,OpTic Gaming,
10,LCS,Spring,2016,Team SoloMid,2700.0
10,LCS,Spring,2016,Echo Fox,2697.7075346495085
10,LCS,Spring,2016,FlyQuest,
11,LCS,Spring,2016,OpTic Gaming,
11,LCS,Spring,2016,Flyquest,
11,LCS,Spring,2016,NRG Esports,2740.0
11,LCS,Spring,2016,Team Liquid,2660.0
11,LCS,Spring,2016,FlyQuest,
11,LCS,Spring,2016,Phoenix1,
11,LCS,Spring,2016,Team Impulse,2684.584930700983
11,LCS,Spring,2016,Team SoloMid,2700.0
11,LCS,Spring,2016,Cloud9,2680.0
11,LCS,Spring,2016,Golden Guardians,
11,LCS,Spring,2016,Renegades,2700.0
11,LCS,Spring,2016,EnVyUs,
11,LCS,Spring,2016,Clutch Gaming,
11,LCS,Spring,2016,Immortals,2737.7075346495085
11,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
11,LCS,Spring,2016,Echo Fox,2697.7075346495085
11,LCS,Spring,2016,Dignitas,2702.2924653504915
11,LCS,Spring,2016,Apex,
11,LCS,Spring,2016,100 Thieves,
12,LCS,Spring,2016,Team Liquid,2660.0
12,LCS,Spring,2016,Apex,
12,LCS,Spring,2016,Flyquest,
12,LCS,Spring,2016,Golden Guardians,
12,LCS,Spring,2016,Cloud9,2680.0
12,LCS,Spring,2016,OpTic Gaming,
